press_alt,kias_50_ft,0_celsius_gr_roll,0_celsius_50_ft,10_celsius_gr_roll,10_celsius_50_ft,20_celsius_gr_roll,20_celsius_50_ft,30_celsius_gr_roll,30_celsius_50_ft,40_celsius_gr_roll,40_celsius_50_ft
0,60,495,1205,510,1235,530,1265,545,1295,565,1330
1000,60,510,1235,530,1265,550,1300,565,1330,585,1365
2000,60,530,1265,550,1300,570,1335,590,1370,610,1405
3000,60,550,1300,570,1335,590,1370,610,1405,630,1440
4000,60,570,1335,590,1370,615,1410,635,1445,655,1480
5000,60,590,1370,615,1415,635,1450,655,1485,680,1525
6000,60,615,1415,640,1455,660,1490,685,1535,705,1570
7000,60,640,1455,660,1495,685,1535,710,1575,730,1615
8000,60,665,1500,690,1540,710,1580,735,1620,760,1665
